date,open,high,low,close,volume_btc,volume_usd,market_cap_all,fng_value,btc_dominance,neutral,positive,negative
2018-07-03,6615.13,6669.47,6463.17,6508.36,4316,28405008,270620065792,31,42,525,612,614
2018-07-04,6508.36,6794.53,6313.27,6583.72,4430,28979165,274823938048,33,43,518,616,570
2018-07-05,6583.72,6700.0,6446.68,6529.47,5533,36422647,267270176768,37,40,575,576,549
2018-07-06,6529.47,6641.09,6451.31,6582.51,3417,22353665,269144260608,34,43,464,506,685
2018-07-07,6587.45,6848.84,6510.17,6754.14,2417,16003935,266641997824,34,42,418,538,467
2018-07-08,6754.14,6782.95,6669.0,6700.88,1966,13243386,276561461248,38,42,510,533,586
2018-07-09,6700.88,6798.97,6620.0,6666.0,2748,18417559,271992586240,39,42,562,534,589
2018-07-10,6666.0,6683.68,6262.94,6299.0,5598,36155373,255056904192,37,44,564,538,531
2018-07-11,6299.0,6400.0,6287.54,6380.0,3416,21678518,252985065472,29,43,543,553,563
2018-07-12,6380.0,6380.0,6075.0,6249.75,3131,19414473,244773879808,33,43,562,636,615
2018-07-13,6249.75,6331.16,6128.32,6203.79,1035,6450862,247667130368,29,42,543,501,543
2018-07-14,6210.0,6321.58,6185.19,6250.02,488,3044549,250306330624,29,44,439,542,426
2018-07-15,6250.02,6382.7,6233.14,6347.99,904,5720351,256810926080,32,43,465,497,541
2018-07-16,6347.99,6747.65,6334.47,6729.22,2858,18800372,269808041984,36,43,548,576,546
2018-07-17,6729.22,7464.98,6657.66,7322.78,4768,33441709,292302061568,39,47,591,610,551
2018-07-18,7322.78,7584.03,7241.19,7378.55,4611,34177313,288488849408,42,42,576,787,549
2018-07-19,7378.55,7557.28,7285.37,7466.58,3843,28493456,287661096960,44,43,588,668,622
2018-07-20,7466.58,7676.31,7272.01,7334.8,2991,22225290,276690534400,47,43,522,660,549
2018-07-21,7334.8,7459.81,7214.96,7408.79,584,4295046,282949386240,43,46,455,571,421
2018-07-22,7408.79,7567.8,7333.98,7400.37,734,5481433,285875666944,46,46,481,574,468
2018-07-23,7400.37,7810.0,7378.89,7713.62,3363,25863287,284279242752,44,46,592,651,675
2018-07-24,7713.62,8480.0,7700.0,8400.73,4541,36903770,298234380288,49,47,620,877,651
2018-07-25,8400.73,8480.0,8039.99,8160.0,3815,31429136,300564676608,54,48,643,752,582
2018-07-26,8160.0,8290.0,7843.05,7926.36,3460,28220038,297351675904,53,46,580,656,714
2018-07-27,7926.36,8269.62,7795.0,8192.21,3763,30210292,298644176896,47,49,569,603,547
2018-07-28,8192.21,8234.98,8055.67,8234.98,895,7297971,295980171264,54,47,465,591,412
2018-07-29,8234.98,8280.0,8120.34,8216.06,492,4043646,297216081920,54,48,482,604,505
2018-07-30,8216.06,8274.97,7849.54,8166.86,2951,23894009,291474049873,53,47,587,647,619
2018-07-31,8166.86,8184.07,7640.33,7725.05,3512,27587934,276303964193,48,47,552,619,701
2018-08-01,7725.05,7751.28,7431.0,7602.14,2227,16850557,268954580067,39,47,463,683,683
2018-08-02,7602.14,7706.7,7456.52,7536.0,1663,12612346,267148128862,39,48,517,677,728
2018-08-03,7536.0,7536.01,7291.5,7413.7,2439,18031782,265237830982,36,49,439,681,748
2018-08-04,7413.7,7485.0,6930.37,7014.55,1463,10421504,253055026177,31,46,352,598,596
