date,open,high,low,close,volume_btc,volume_usd
2018-03-28,7794.46,8095.0,7749.53,7941.87,5099,40255451
2018-03-27,8149.46,8221.79,7753.0,7794.46,6505,51702143
2018-03-26,8457.04,8495.73,7827.95,8149.46,6902,56193530
2018-03-25,8540.33,8687.3,8375.5,8457.04,3802,32383644
2018-03-24,8925.0,9000.0,8500.0,8540.33,3002,26488822
2018-03-23,8710.44,8925.01,8288.01,8925.0,6207,52936947
2018-03-22,8902.53,9100.0,8494.62,8710.44,6485,56753217
2018-03-21,8904.23,9180.0,8755.0,8902.53,6594,59212481
2018-03-20,8599.01,9037.0,8327.35,8904.23,7272,63129514
2018-03-19,8197.29,8744.68,8119.7,8599.01,8472,71070074
2018-03-18,7870.99,8297.0,7319.0,8197.29,9669,74104522
2018-03-17,8265.81,8350.0,7737.49,7870.99,4357,35033565
2018-03-16,8266.99,8607.11,7900.01,8265.81,6576,54696030
2018-03-15,8198.82,8416.92,7675.35,8266.99,10294,82957878
2018-03-14,9146.18,9366.16,7932.65,8198.82,9260,79124355
2018-03-13,9105.0,9500.0,8850.0,9146.18,6443,58856352
2018-03-12,9530.94,9898.0,8760.0,9105.0,7429,69137084
2018-03-11,8769.2,9772.42,8544.95,9530.94,4575,42306636
2018-03-10,9257.0,9515.21,8731.0,8769.2,4581,42340279
2018-03-09,9295.77,9409.21,8370.0,9257.0,11095,98510525
2018-03-08,9884.26,10100.0,9050.0,9295.77,8774,83652551
2018-03-07,10696.87,10898.99,9375.0,9884.26,10297,103482427
2018-03-06,11400.01,11401.64,10563.93,10696.87,5128,56123956
2018-03-05,11467.19,11650.01,11400.0,11400.01,2939,33912541
2018-03-04,11433.72,11500.0,11060.01,11467.19,1874,21117794
2018-03-03,11027.77,11484.98,11026.91,11433.72,1842,20876860
2018-03-02,10900.95,11200.0,10779.44,11027.77,4046,44474264
2018-03-01,10296.86,11100.0,10200.0,10900.95,5125,54839997
2018-02-28,10562.46,11050.0,10260.85,10296.86,6013,63890938
2018-02-27,10300.0,10850.0,10117.0,10562.46,5538,58574042
2018-02-26,9595.0,10433.88,9399.0,10300.0,5550,55993158
2018-02-25,9697.21,9870.0,9290.0,9595.0,3491,33472164
2018-02-24,10161.62,10534.77,9388.97,9697.21,5375,53590192
2018-02-23,9829.96,10400.0,9595.0,10161.62,6470,64650739
2018-02-22,10475.0,10939.9,9740.0,9829.96,10771,109881832
2018-02-21,11206.22,11282.53,10248.0,10475.0,11441,122866113
2018-02-20,11166.92,11750.0,11084.99,11206.22,6641,76268926
2018-02-19,10403.01,11250.0,10315.0,11166.92,3764,40969900
2018-02-18,11100.0,11270.0,10150.0,10403.01,6902,74029051
2018-02-17,10183.63,11140.45,10039.73,11100.0,4311,45959466
2018-02-16,10017.18,10307.6,9710.0,10183.63,5439,54605905
2018-02-15,9480.27,10259.29,9353.0,10017.18,8989,88764794
2018-02-14,8519.07,9510.0,8519.07,9480.27,8789,80166786
2018-02-13,8900.0,8940.0,8379.0,8519.07,4953,42654131
2018-02-12,8073.9,8985.0,8070.68,8900.0,5466,47208118
2018-02-11,8553.5,8576.42,7824.48,8073.9,5306,43469260
2018-02-10,8697.78,9069.0,8146.78,8553.5,6004,51732287
