date,crypto bubble,unemployment,pandemic,war,sp500,buy stock,find job,trade war,virus
2019-05-05,0,72,80,85,18,46,48,14,71
2019-05-06,0,100,82,84,81,59,73,36,84
2019-05-07,0,83,86,80,73,60,75,35,86
2019-05-08,0,81,76,79,80,57,93,43,82
2019-05-09,0,75,80,79,83,74,78,64,82
2019-05-10,0,62,86,82,89,100,81,100,79
2019-05-11,0,37,81,72,22,47,58,45,72
2019-05-12,0,65,81,72,15,38,58,34,67
2019-05-13,0,98,88,76,100,58,88,97,84
2019-05-14,87,86,88,76,96,62,80,99,100
2019-05-15,87,77,64,76,68,59,100,57,99
2019-05-16,86,70,64,75,63,68,82,50,93
2019-05-17,90,62,82,71,58,63,79,49,88
2019-05-18,100,39,45,67,22,36,54,29,70
2019-05-19,0,74,74,71,13,37,65,29,73
2019-05-20,0,92,67,71,61,50,95,63,85
2019-05-21,85,82,64,69,65,59,94,54,89
2019-05-22,85,73,67,67,51,55,87,57,89
2019-05-23,84,68,76,68,65,64,76,61,80
2019-05-24,0,60,67,68,55,46,73,50,76
2019-05-25,0,37,56,66,21,34,56,35,71
2019-05-26,0,62,61,69,11,37,56,39,74
2019-05-27,87,59,78,66,29,39,61,40,78
2019-05-28,0,91,64,67,60,48,89,39,86
2019-05-29,0,82,66,66,61,57,85,50,87
2019-05-30,87,73,72,66,60,53,90,56,84
2019-05-31,0,67,76,62,77,44,79,54,77
2019-06-01,100,46,65,90,29,50,54,95,61
2019-06-02,0,68,99,97,20,46,61,100,62
2019-06-03,0,100,84,93,89,60,93,99,88
2019-06-04,86,74,86,90,100,73,85,88,100
2019-06-05,0,72,69,93,94,72,85,82,82
2019-06-06,87,66,80,100,79,77,83,75,86
2019-06-07,0,63,72,90,72,82,92,69,93
2019-06-08,0,37,67,89,21,50,67,48,83
2019-06-09,0,71,100,94,18,48,56,53,75
2019-06-10,0,92,72,86,76,80,90,72,77
2019-06-11,0,79,70,82,78,79,92,68,81
2019-06-12,0,73,77,80,68,74,97,67,81
2019-06-13,0,66,89,80,73,79,87,65,78
2019-06-14,0,59,74,79,62,74,71,56,73
2019-06-15,100,39,73,89,23,50,59,47,67
2019-06-16,0,68,89,89,21,53,60,48,63
2019-06-17,86,99,77,80,57,70,100,67,76
2019-06-18,0,81,71,78,80,88,98,54,79
2019-06-19,85,72,72,75,73,75,93,62,73
2019-06-20,0,69,73,81,97,100,90,59,73
2019-06-21,0,64,58,82,82,76,79,52,69
2019-06-22,0,39,68,84,25,54,55,37,63
2019-06-23,100,73,80,87,22,53,59,39,64
2019-06-24,0,97,70,76,67,72,99,54,68
2019-06-25,86,78,72,73,73,68,92,53,72
2019-06-26,84,76,66,77,62,67,77,59,70
2019-06-27,0,67,72,72,65,77,91,60,67
2019-06-28,0,65,72,73,64,71,75,72,61
2019-06-29,0,41,75,83,26,44,62,100,59
2019-06-30,0,72,64,85,18,53,60,62,58
2019-07-01,0,97,71,82,87,76,75,100,85
2019-07-02,0,77,75,81,82,76,86,80,86
2019-07-03,0,68,71,83,75,79,73,80,100
2019-07-04,0,36,68,87,35,62,71,72,87
2019-07-05,0,52,86,92,78,61,74,63,83
2019-07-06,0,37,75,96,23,54,59,61,78
2019-07-07,0,72,98,100,19,74,78,55,76
2019-07-08,0,100,60,86,73,77,100,86,83
2019-07-09,0,78,81,82,85,80,90,83,89
2019-07-10,84,72,72,80,83,85,90,69,88
2019-07-11,85,68,74,82,100,100,75,74,87
2019-07-12,0,61,59,81,86,89,71,76,90
2019-07-13,0,36,78,93,34,64,68,60,82
2019-07-14,96,67,69,95,19,67,79,61,77
2019-07-15,0,95,76,92,62,68,85,84,88
2019-07-16,0,75,85,88,68,99,95,74,87
2019-07-17,0,71,87,84,70,79,82,88,95
2019-07-18,0,68,78,81,66,79,73,66,95
2019-07-19,0,58,70,88,79,92,65,72,96
2019-07-20,0,35,89,93,21,58,57,58,88
2019-07-21,0,66,100,97,18,73,63,64,84
2019-07-22,87,90,94,83,66,81,82,67,86
2019-07-23,0,72,63,81,61,89,83,71,88
