date,inflation,traiding,passive income,economic crisis,investing,crisis,gold
2018-12-14,90,65,61,57,87,69,91
2018-12-15,55,59,48,47,32,53,98
2018-12-16,62,74,80,57,37,58,93
2018-12-17,82,60,84,74,88,68,88
2018-12-18,78,41,97,83,86,63,90
2018-12-19,83,52,69,81,99,66,88
2018-12-20,75,61,76,52,100,61,92
2018-12-21,66,63,61,39,89,54,89
2018-12-22,51,60,62,42,38,46,94
2018-12-23,46,78,69,46,33,47,92
2018-12-24,57,77,64,42,80,48,91
2018-12-25,58,54,53,45,63,47,98
2018-12-26,60,64,64,53,79,49,100
2018-12-27,54,39,96,43,91,50,95
2018-12-28,62,24,91,21,85,46,95
2018-12-29,53,50,94,22,40,43,97
2018-12-30,56,42,96,25,37,45,94
2018-12-31,56,67,65,42,71,45,93
2019-01-01,56,47,70,23,45,54,92
2019-01-02,70,44,91,27,86,67,92
2019-01-03,77,39,86,48,100,69,96
2019-01-04,80,39,91,33,89,68,95
2019-01-05,65,35,57,54,40,57,100
2019-01-06,65,43,89,46,37,63,95
2019-01-07,75,42,100,54,89,73,89
2019-01-08,86,49,88,65,87,83,88
2019-01-09,93,75,68,73,90,90,90
2019-01-10,90,58,90,69,89,89,89
2019-01-11,85,65,61,69,81,87,89
2019-01-12,60,52,85,46,36,66,96
2019-01-13,69,61,82,43,37,72,94
2019-01-14,87,33,77,46,85,82,88
2019-01-15,97,49,67,25,89,85,84
2019-01-16,99,49,67,75,89,81,86
2019-01-17,96,66,63,62,85,81,87
2019-01-18,81,47,69,55,80,76,94
2019-01-19,58,28,60,39,36,61,93
2019-01-20,67,40,80,24,37,67,89
2019-01-21,84,37,90,53,78,71,86
2019-01-22,90,69,74,55,82,83,85
2019-01-23,90,100,78,64,80,88,83
2019-01-24,100,61,65,80,83,100,84
2019-01-25,75,50,74,69,78,88,85
2019-01-26,64,35,71,56,34,69,92
2019-01-27,69,47,89,42,43,74,92
2019-01-28,88,64,67,52,86,90,89
2019-01-29,92,60,90,55,85,91,85
2019-01-30,91,56,69,100,86,93,87
2019-01-31,99,61,90,77,85,91,87
2019-02-01,81,55,67,64,90,83,95
2019-02-02,63,39,73,62,43,67,100
2019-02-03,65,55,74,56,44,75,95
2019-02-04,83,88,92,95,96,92,92
2019-02-05,86,25,79,86,95,91,94
2019-02-06,87,72,88,82,92,87,90
2019-02-07,94,63,78,62,100,95,92
2019-02-08,81,60,79,54,99,89,94
2019-02-09,63,50,90,79,41,69,97
2019-02-10,71,33,70,70,43,71,96
2019-02-11,88,38,91,85,92,89,92
2019-02-12,85,100,88,78,94,90,93
2019-02-13,100,72,68,71,92,92,91
2019-02-14,86,73,70,50,93,86,89
2019-02-15,81,66,68,78,90,86,89
2019-02-16,59,66,76,48,42,68,97
2019-02-17,66,56,90,78,44,76,97
2019-02-18,78,63,88,57,91,84,89
2019-02-19,96,43,86,72,98,96,92
2019-02-20,90,34,100,60,92,88,96
2019-02-21,90,53,95,92,95,96,91
2019-02-22,80,75,73,67,90,91,92
2019-02-23,67,56,53,49,48,80,98
2019-02-24,64,58,80,68,47,86,93
2019-02-25,92,38,98,66,91,100,91
2019-02-26,88,57,81,88,99,99,90
2019-02-27,94,65,85,100,90,95,87
2019-02-28,89,78,77,93,91,96,87
2019-03-01,78,62,86,73,80,79,88
2019-03-02,62,78,67,31,35,62,96
2019-03-03,65,54,70,36,35,64,94
2019-03-04,90,100,82,77,81,92,87
2019-03-05,93,39,93,60,77,89,90
2019-03-06,83,76,88,100,82,94,91
2019-03-07,83,79,51,68,86,91,91
2019-03-08,79,82,72,56,85,86,91
2019-03-09,59,35,92,43,35,65,96
2019-03-10,63,43,78,57,31,71,91
